lat,long,time,rssi,snr
40.25063,-111.6492,2020-03-11T22:36:34.655740256Z,-75,10.0
40.25065,-111.6492,2020-03-11T22:36:38.629787848Z,-79,9.5
40.25064,-111.6492,2020-03-11T22:36:43.168629614Z,-78,1.8
40.25064,-111.6492,2020-03-11T22:36:47.846361024Z,-83,7.5
40.25064,-111.6492,2020-03-11T22:36:52.418804289Z,-82,10.2
40.25068,-111.6491,2020-03-11T22:37:05.781515386Z,-78,1.2
40.25068,-111.6491,2020-03-11T22:37:10.466234524Z,-79,8.8
40.25068,-111.6491,2020-03-11T22:37:15.034539454Z,-78,2.8
40.25064,-111.6492,2020-03-11T22:37:19.179406534Z,-83,0.8
40.25063,-111.6492,2020-03-11T22:37:23.855272082Z,-84,9.0
40.25063,-111.6492,2020-03-11T22:37:28.431703878Z,-83,5.0
40.25066,-111.6492,2020-03-11T22:37:37.218858108Z,-78,4.8
40.25066,-111.6492,2020-03-11T22:37:41.75511839Z,-81,5.8
40.25066,-111.6492,2020-03-11T22:37:46.431728763Z,-77,6.5
40.25066,-111.6492,2020-03-11T22:37:51.011797478Z,-81,2.5
40.25067,-111.6492,2020-03-11T22:37:55.123496872Z,-81,9.8
40.25067,-111.6492,2020-03-11T22:37:59.803270349Z,-76,8.0
40.25067,-111.6492,2020-03-11T22:38:09.049778104Z,-76,8.5
40.25061,-111.6492,2020-03-11T22:38:13.594884275Z,-77,8.5
40.25058,-111.6492,2020-03-11T22:38:22.558511577Z,-82,6.2
40.25058,-111.6492,2020-03-11T22:38:27.24033022Z,-89,-2.0
40.25057,-111.6492,2020-03-11T22:38:31.813265102Z,-90,8.8
40.25051,-111.6493,2020-03-11T22:38:35.815169305Z,-88,4.0
40.25052,-111.6493,2020-03-11T22:38:49.746018786Z,-95,0.2
40.25026,-111.6497,2020-03-11T22:39:22.058218355Z,-101,7.0
40.24942,-111.6498,2020-03-11T22:40:27.588746314Z,-97,7.5
40.2494,-111.6498,2020-03-11T22:40:36.729745854Z,-94,-2.5
40.24913,-111.6518,2020-03-11T22:42:43.953544482Z,-107,3.2
40.24797,-111.652,2020-03-11T22:44:14.564562253Z,-89,9.5
40.24797,-111.652,2020-03-11T22:44:19.01908193Z,-88,7.5
40.24797,-111.652,2020-03-11T22:44:23.675203301Z,-87,6.8
40.24796,-111.652,2020-03-11T22:44:28.354759737Z,-84,8.0
40.24792,-111.6517,2020-03-11T22:44:33.605531854Z,-91,10.0
40.24769,-111.6517,2020-03-11T22:45:06.314392739Z,-86,1.0
40.24724,-111.6516,2020-03-11T22:45:30.618958677Z,-109,-0.2
40.2457,-111.6501,2020-03-11T22:49:00.863646654Z,-106,-0.5
40.24568,-111.6498,2020-03-11T22:49:33.196302536Z,-102,8.0
40.2458,-111.6495,2020-03-11T22:49:50.98704875Z,-101,-4.8
40.24611,-111.6492,2020-03-11T22:50:17.892879157Z,-92,4.2
40.24629,-111.6492,2020-03-11T22:50:36.536440462Z,-94,3.5
40.24654,-111.649,2020-03-11T22:51:10.759528467Z,-99,5.8
40.2467,-111.6487,2020-03-11T22:51:33.838892036Z,-94,3.2
40.24729,-111.6477,2020-03-11T22:54:07.909456539Z,-48,10.5
40.24728,-111.6479,2020-03-11T22:54:12.442908798Z,-51,9.5
40.24722,-111.6477,2020-03-11T22:54:17.121812413Z,-51,8.2
40.24722,-111.6477,2020-03-11T22:54:21.559968155Z,-51,9.5
40.24723,-111.6477,2020-03-11T22:54:25.958127289Z,-49,9.8
40.24723,-111.6477,2020-03-11T22:54:30.525639561Z,-47,7.8
40.24723,-111.6477,2020-03-11T22:54:39.774963444Z,-49,10.5
40.24724,-111.6476,2020-03-11T22:54:43.890241526Z,-48,9.8
